Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,,2020 Population,2020VS1970,2020VS2010,2020VS2015,2015 Population,2015vs2010,2010 Population,2010vs2000,2000 Population,2000vs1990,1990 Population,1990vs1980,1980 Population,1980vs1970,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
37,POL,Poland,Warsaw,Europe,39857145,1.033823414,38428366,1.183032153,0.995621798,0.996763429,38553146,0.998854662,38597353,1.002413281,38504431,1.011564025,38064255,1.07158569,35521429,1.09354097,32482943,312679,127.4698,1.0404,0.5
92,PRT,Portugal,Lisbon,Europe,10270865,0.990876408,10298192,1.185931553,0.972591801,0.993512766,10365435,0.97894243,10588401,1.027937622,10300626,1.029306471,10007346,1.022696809,9785252,1.126861793,8683631,92090,111.5307,0.9981,0.13
136,PRI,Puerto Rico,San Juan,America,3252407,0.929967246,3271564,1.195039923,0.879944227,0.935444846,3497335,0.940669277,3717922,0.971470364,3827108,1.079952006,3543776,1.102411273,3214568,1.174220372,2737619,8870,366.675,0.9989,0.04
143,QAT,Qatar,Doha,Asia,2695122,1.116189902,2760385,23.39170558,1.610959181,1.143218697,2414573,1.409143486,1713504,2.652741676,645937,1.462471274,441675,1.591908452,277450,2.351131713,118007,11586,232.6189,1.0026,0.03
114,COG,Republic of the Congo,Brazzaville,Africa,5970424,1.17890382,5702174,4.081760128,1.28488577,1.125935898,5064386,1.141171333,4437884,1.416031116,3134030,1.313819073,2385435,1.304046563,1829256,1.309427633,1396989,342000,17.4574,1.0231,0.07
161,REU,Reunion,Saint-Denis,Africa,974052,1.05588865,957822,2.021041304,1.076047319,1.038295059,922495,1.036359858,890130,1.133311434,785424,1.191856654,658992,1.194531553,551674,1.164053384,473925,2511,387.914,1.0082,0.01
64,ROU,Romania,Bucharest,Europe,19659267,0.987601174,19442038,0.975877668,0.956077515,0.976688478,19906079,0.978897096,20335211,0.92770648,21919876,0.95987263,22836234,1.03213572,22125224,1.11055806,19922618,238391,82.4665,1.0171,0.25
9,RUS,Russia,Moscow,Europe,144713314,1.000310538,145617329,1.119332461,1.016578378,1.006559415,144668389,1.009953673,143242599,0.975469073,146844839,0.99215662,148005704,1.070508216,138257420,1.062758253,130093010,17098242,8.4636,0.9973,1.81
76,RWA,Rwanda,Kigali,Africa,13776698,1.183264323,13146362,3.374005067,1.275227711,1.129125508,11642959,1.129394121,10309031,1.271152279,8109989,1.107927746,7319962,1.394934228,5247532,1.346775599,3896367,26338,523.0731,1.0234,0.17
228,BLM,Saint Barthelemy,Gustavia,America,10967,1.13730167,10681,4.419114605,1.188362261,1.10764285,9643,1.072874944,8988,1.269133013,7082,1.370356037,5168,1.732484076,2983,1.234174597,2417,21,522.2381,1.0098,0
211,KNA,Saint Kitts and Nevis,Basseterre,America,47657,0.997216991,47642,1.059464508,1.005041875,0.996903118,47790,1.00816404,47403,1.042717934,45461,1.11873708,40636,0.942896257,43097,0.958392635,44968,261,182.5939,1.0011,0
190,LCA,Saint Lucia,Castries,America,179857,1.02410846,179237,1.738645843,1.048568169,1.02057817,175623,1.02742563,170935,1.07169279,159500,1.120863522,142301,1.169920992,121633,1.179871957,103090,616,291.9756,1.0011,0
220,MAF,Saint Martin,Marigot,America,31791,0.907795545,32552,5.610479145,0.89286302,0.929525985,35020,0.960557354,36458,1.231273219,29610,1.05272514,28127,3.61715535,7776,1.340227508,5802,53,599.8302,0.9951,0
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,America,5862,0.980595517,5906,1.066642586,0.975875744,0.987955838,5978,0.987772637,6052,0.964615875,6274,0.992093612,6324,1.035702588,6106,1.102763229,5537,242,24.2231,0.9964,0
199,VCT,Saint Vincent and the Grenadines,Kingstown,America,103948,0.976202551,104632,1.062696148,0.957221795,0.982626172,106482,0.974146449,109308,0.960417527,113813,1.011788029,112487,1.046585411,107480,1.091621893,98459,389,267.2185,0.9963,0
188,WSM,Samoa,Apia,Oceania,222382,1.092405107,214929,1.505410763,1.104057081,1.055793802,203571,1.045712789,194672,1.057954002,184008,1.094074418,168186,1.019896304,164905,1.155031484,142771,2842,78.2484,1.0165,0
218,SMR,San Marino,San Marino,Europe,33660,1.002680965,34007,1.871704552,1.075898507,1.013017575,33570,1.062072893,31608,1.178391679,26823,1.159562511,23132,1.083669071,21346,1.174858275,18169,61,551.8033,0.9975,0
